health_sys_id,health_sys_name,health_sys_city,health_sys_state,in_onekey,in_aha,onekey_id,aha_sysid,total_mds,prim_care_mds,total_nps,total_pas,grp_cnt,hosp_cnt,acutehosp_cnt,nh_cnt,sys_multistate,sys_beds,sys_dsch,sys_res,maj_inv_owned,deg_children,sys_incl_majteachhosp,sys_incl_vmajteachhosp,sys_teachint,sys_incl_highdpphosp,sys_highucburden,sys_incl_highuchosp,sys_anyins_product,sys_mcare_adv,sys_mcaid_mngcare,sys_healthins_mktplc,sys_ma_plan_contracts,sys_ma_plan_enroll,sys_apm,sys_aco,sys_ebpm,sys_pctm,sys_hq_city_lon,sys_hq_city_lat,sys_ownership_cat_hcris
HSI00000008,Adena Health System,Chillicothe,OH,1,1,17780403.0,895.0,221,89.0,94.0,12.0,51.0,3,3,0.0,1,239.0,10533.0,45.79,0.0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,1,144,0,28,-82.96776,39.33537,Nonprofit
HSI00000010,Adventist Health System,Altamonte Springs,FL,1,1,17773293.0,4165.0,2558,940.0,668.0,269.0,570.0,34,33,15.0,3,7700.0,366041.0,209.41,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1,1342,0,30,-81.35976,28.66591,Church-operated
HSI00000011,Adventist Health,Roseville,CA,1,1,17773620.0,235.0,1716,621.0,358.0,300.0,345.0,28,25,5.0,3,2659.0,136567.0,123.41,0.0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,,1,232,0,26,-121.28403,38.74897,Church-operated
HSI00000012,Adventist Healthcare,Gaithersburg,MD,1,1,17773292.0,214.0,283,85.0,46.0,63.0,46.0,4,2,0.0,1,496.0,33181.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0,0,0,0,-77.19373,39.14033,Church-operated
HSI00000018,Alameda Health System,Oakland,CA,1,1,18283551.0,225.0,474,163.0,44.0,43.0,9.0,3,3,4.0,1,265.0,15310.0,99.99,0.0,0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0,0,0,0,-122.27307,37.80508,Public/government
HSI00000019,Albany Medical Center,Albany,NY,1,0,18202149.0,,731,152.0,111.0,141.0,88.0,3,2,0.0,1,909.0,49205.0,366.91,0.0,0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0,0,38,-73.75521,42.65155,Nonprofit
HSI00000020,Albert Einstein Healthcare Network,Philadelphia,PA,1,1,18150651.0,1685.0,961,301.0,86.0,87.0,101.0,2,2,1.0,1,577.0,37134.0,325.61,0.0,0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,,1,477,20,0,-75.16218,39.95222,Nonprofit
HSI00000021,Alecto Healthcare Services,Irvine,CA,1,1,18394721.0,1020.0,209,42.0,15.0,20.0,16.0,7,6,1.0,3,905.0,23673.0,32.2,1.0,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0,0,0,0,-117.82591,33.6873,For-profit/investor
HSI00000025,Allegheny Health Network,Pittsburgh,PA,1,1,17773987.0,199.0,3094,525.0,280.0,294.0,382.0,8,8,1.0,2,1858.0,81024.0,559.76,0.0,0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H3916; H3957; H5106; H5932; H9190,315859.0,1,1039,56,0,-79.99734,40.43851,Nonprofit
HSI00000029,Allina Health System,Minneapolis,MN,1,1,17773295.0,41.0,1728,829.0,335.0,243.0,200.0,13,12,1.0,2,1725.0,116339.0,64.26,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,1,613,0,0,-93.26494,44.97902,Nonprofit
