compendium_hospital_id,ccn,hospital_name,hospital_street,hospital_city,hospital_state,hospital_zip,acutehosp_flag,health_sys_id,health_sys_name,health_sys_city,health_sys_state,esri_score,hk_number_of_discharges,hk_excess_readmission_ratio,hk_predicted_readmission_rate,hk_expected_readmission_rate,hk_number_of_readmissions,cabg_number_of_discharges,cabg_excess_readmission_ratio,cabg_predicted_readmission_rate,cabg_expected_readmission_rate,cabg_number_of_readmissions,ami_number_of_discharges,ami_excess_readmission_ratio,ami_predicted_readmission_rate,ami_expected_readmission_rate,ami_number_of_readmissions,hf_number_of_discharges,hf_excess_readmission_ratio,hf_predicted_readmission_rate,hf_expected_readmission_rate,hf_number_of_readmissions,copd_number_of_discharges,copd_excess_readmission_ratio,copd_predicted_readmission_rate,copd_expected_readmission_rate,copd_number_of_readmissions,pn_number_of_discharges,pn_excess_readmission_ratio,pn_predicted_readmission_rate,pn_expected_readmission_rate,pn_number_of_readmissions,in_hrrp,hospital_county,hospital_lon,hospital_lat,hk_excess_readmission_ratio_median,cabg_excess_readmission_ratio_median,ami_excess_readmission_ratio_median,hf_excess_readmission_ratio_median,copd_excess_readmission_ratio_median,pn_excess_readmission_ratio_median
CHSP00007127,010018,Callahan Eye Foundation Hosp,1720 University Blvd,Birmingham,AL,35233,0,HSI00001116,UAB Health System,Birmingham,AL,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Jefferson,-86.802702,33.5031,1.1877,1.1316,0.9955,1.0278,0.96585,0.9834
CHSP00001741,010025,Eamc Lanier,4800 48th St,Valley,AL,36854,1,HSI00000325,East Alabama Medical Center,Opelika,AL,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Chambers,-85.169687,32.823777,1.2778,,0.9787,1.0423,0.9645,0.9749
CHSP00004432,010054,Decatur Morgan Hospital Parkway Campus,1874 Beltline Rd Sw,Decatur,AL,35601,1,HSI00000467,Huntsville Hospital Health System,Huntsville,AL,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Morgan,-87.016229,34.575273,1.1987,0.9478,1.0022,0.9993,1.0663,0.9689
CHSP00002927,010102,John Paul Jones Hospital,317 Mcwilliams Ave,Camden,AL,36726,0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Wilcox,-87.299517,31.998043,,,,,,
CHSP00004643,010145,Northport Medical Center,2700 Hospital Dr,Northport,AL,35476,1,HSI00000297,DCH Health System,Tuscaloosa,AL,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Tuscaloosa,-87.569548,33.233892,1.2086,,1.0406,1.075,0.9695,0.9775
CHSP00007128,010167,Uab Highlands,1201 11th Ave S,Birmingham,AL,35205,1,HSI00001116,UAB Health System,Birmingham,AL,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Jefferson,-86.807367,33.495322,1.1877,1.1316,0.9955,1.0278,0.96585,0.9834
CHSP00001063,01022F,Central Alabama Veterans Health Care System,2400 Hospital Rd,Tuskegee,AL,36083,0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Macon,-85.708403,32.437071,,,,,,
CHSP00007191,014016,Usa Healthcare Psych Services  Llc,1910 Cherokee Ave Sw,Cullman,AL,35055,0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Cullman,-86.843926,34.150373,,,,,,
CHSP00007991,015049,Eastern Shore Rehabilitation And Health Center,101 Villa Dr,Daphne,AL,36526,0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Baldwin,-87.909063,30.612662,,,,,,
CHSP00008276,027007,Sitka Community Hospital,209 Moller Ave,Sitka,AK,99835,1,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Sitka,-135.345153,57.058696,,,,,,
