state,num_hosp_tot,num_hosp_in_sys,pct_hosp_in_sys,num_acute_hosp,num_acute_hosp_in_sys,pct_acute_hosp_in_sys,num_beds_tot,num_beds_in_sys,num_beds_in_mulst_sys,pct_beds_in_sys,pct_beds_in_mulst_sys,num_dsch_tot,num_dsch_in_sys,pct_dsch_in_sys,num_sys_w_hosp_instate,num_sys_hq_instate,np_total,np_per_10k_population,np_pct_in_sys,pa_total,pa_per_10k_population,pa_pct_in_sys
AK,29,8,0.276,23,7,0.304,1422,695,695,0.489,0.489,51325,28392,0.553,5.0,0.0,818,11.1,0.088,561,7.6,0.029
AL,126,59,0.468,91,54,0.593,14572,10810,4693,0.742,0.322,611244,500958,0.82,20.0,9.0,4240,8.7,0.227,681,1.4,0.226
AR,111,54,0.486,79,44,0.557,9318,6639,3016,0.712,0.324,357660,290382,0.812,17.0,9.0,2782,9.2,0.41,436,1.4,0.369
AZ,120,59,0.492,66,49,0.742,15113,12448,8970,0.824,0.594,673460,605193,0.899,15.0,8.0,6246,8.7,0.244,2823,3.9,0.276
CA,454,291,0.641,342,263,0.769,73581,59734,33506,0.812,0.455,3259148,2796648,0.858,60.0,53.0,18344,4.6,0.376,10256,2.6,0.38
CO,111,55,0.495,81,49,0.605,11000,8369,7455,0.761,0.678,450782,415261,0.921,16.0,9.0,4525,7.9,0.381,3238,5.7,0.374
CT,47,33,0.702,32,30,0.938,7899,6725,3607,0.851,0.457,357235,347530,0.973,13.0,9.0,3643,10.2,0.4,2218,6.2,0.559
DC,15,9,0.6,8,7,0.875,3087,2509,1986,0.813,0.643,122324,112486,0.92,6.0,2.0,1256,17.9,0.501,530,7.5,0.538
DE,14,9,0.643,7,7,1.0,2689,2405,624,0.894,0.232,117715,111385,0.946,7.0,4.0,1092,11.3,0.492,510,5.3,0.488
FL,281,191,0.68,190,170,0.895,57026,51625,30707,0.905,0.538,2564667,2440414,0.952,39.0,27.0,21720,10.2,0.248,7410,3.5,0.255
GA,182,110,0.604,134,97,0.724,22350,19106,4249,0.855,0.19,1013270,941268,0.929,33.0,23.0,8426,8.0,0.328,4283,4.1,0.348
HI,33,29,0.879,23,22,0.957,2685,2562,775,0.954,0.289,102667,99473,0.969,8.0,4.0,703,4.9,0.307,284,2.0,0.377
IA,132,95,0.72,121,93,0.769,7532,6529,5291,0.867,0.702,291716,265618,0.911,17.0,6.0,3433,10.9,0.521,1227,3.9,0.499
ID,59,22,0.373,44,19,0.432,3200,2487,1259,0.777,0.393,135505,118461,0.874,10.0,3.0,1488,8.5,0.407,1021,5.8,0.351
IL,226,143,0.633,185,128,0.692,30606,24856,14319,0.812,0.468,1301957,1175984,0.903,40.0,26.0,9578,7.5,0.479,3336,2.6,0.441
IN,177,109,0.616,115,94,0.817,17218,14807,6783,0.86,0.394,730772,672971,0.921,33.0,22.0,6771,10.1,0.499,1432,2.1,0.497
KS,168,37,0.22,134,34,0.254,8630,5138,2886,0.595,0.334,308465,237314,0.769,13.0,4.0,2807,9.6,0.341,1080,3.7,0.346
KY,131,88,0.672,97,74,0.763,14262,11887,8584,0.833,0.602,559130,502818,0.899,20.0,12.0,5498,12.3,0.366,1325,3.0,0.383
LA,230,77,0.335,114,61,0.535,17145,10350,4488,0.604,0.262,564103,396482,0.703,22.0,11.0,4282,9.2,0.317,1127,2.4,0.384
MA,112,70,0.625,63,59,0.937,18540,14077,5839,0.759,0.315,788803,710914,0.901,26.0,22.0,8951,13.0,0.489,3293,4.8,0.628
MD,68,48,0.706,46,42,0.913,12695,10471,3993,0.825,0.315,570654,543180,0.952,18.0,16.0,5604,9.3,0.383,3090,5.1,0.488
ME,40,30,0.75,34,28,0.824,2981,2673,1350,0.897,0.453,131976,125323,0.95,6.0,5.0,1629,12.2,0.529,882,6.6,0.644
MI,180,129,0.717,134,117,0.873,24170,21343,7493,0.883,0.31,1172113,1130251,0.964,24.0,16.0,7308,7.3,0.49,4954,5.0,0.578
MN,177,110,0.621,153,105,0.686,11334,10159,7690,0.896,0.678,526235,501319,0.953,21.0,16.0,5048,9.0,0.592,2769,4.9,0.617
MO,167,100,0.599,114,84,0.737,18841,15795,11511,0.838,0.611,771431,720894,0.934,23.0,19.0,6155,10.0,0.454,1053,1.7,0.467
MS,117,57,0.487,91,51,0.56,10141,7742,4783,0.763,0.472,348869,299041,0.857,17.0,9.0,3818,12.8,0.321,259,0.9,0.375
MT,76,29,0.382,67,29,0.433,2955,1931,1024,0.653,0.347,104382,89760,0.86,9.0,6.0,964,9.1,0.419,662,6.2,0.494
NC,138,102,0.739,104,91,0.875,23051,20182,10819,0.876,0.469,1015466,936743,0.922,25.0,18.0,8222,7.9,0.42,6276,6.0,0.439
ND,58,24,0.414,50,23,0.46,2578,1831,1383,0.71,0.536,101984,63224,0.62,6.0,2.0,1054,13.9,0.529,500,6.6,0.484
