CcnId,Hsi
010018,HSI00001116
010025,HSI00000325
010054,HSI00000467
010145,HSI00000297
010167,HSI00001116
030019,HSI00001037
030100,HSI00001066
030102,HSI00001066
030118,HSI00001273
033040,HSI00000314
040080,HSI00001145
040138,HSI00000249
040141,HSI00000249
044010,HSI00000911
047099,HSI00000183
047326,HSI00000074
050188,HSI00000336
050193,HSI00000852
050270,HSI00000968
050369,HSI00000226
050470,HSI00000011
050613,HSI00001224
050680,HSI00000755
050749,HSI00000492
053028,HSI00000283
053310,HSI00000981
053981,HSI00000011
054144,HSI00001168
054150,HSI00000536
054155,HSI00000404
060127,HSI00000991
060128,HSI00001169
070001,HSI00001272
070009,HSI00000452
070015,HSI00001253
074000,HSI00000055
080009,HSI00000094
100015,HSI00000492
100061,HSI00000492
100114,HSI00000523
100210,HSI00001066
100225,HSI00000653
100329,HSI00000492
101312,HSI00000075
103030,HSI00001066
104032,HSI00001148
104065,HSI00001148
104076,HSI00001148
104080,HSI00001148
109802,HSI00000010
110163,HSI00000823
110219,HSI00001244
113301,HSI00000209
114015,HSI00000492
114023,HSI00000584
125003,HSI00000536
125023,HSI00000536
125029,HSI00000454
125032,HSI00000454
127019,HSI00001087
140051,HSI00000756
140094,HSI00000055
142012,HSI00001277
143413,HSI00000070
143445,HSI00000776
150003,HSI00000375
150090,HSI00000375
150154,HSI00000248
153043,HSI00000248
154042,HSI00000305
162002,HSI00000152
162324,HSI00000183
167049,HSI00001106
167162,HSI00001146
167190,HSI00000631
170192,HSI00000492
180151,HSI00001174
190078,HSI00000584
190135,HSI00000780
190175,HSI00000780
190177,HSI00000492
190182,HSI00000492
190196,HSI00000492
190205,HSI00000562
190236,HSI00001263
190257,HSI00000152
190261,HSI00001037
190275,HSI00000780
193034,HSI00000555
194114,HSI00000780
197119,HSI00000780
215033,HSI00000582
220082,HSI00000598
220089,HSI00001066
220174,HSI00001037
222319,HSI00001066
223504,HSI00001122
230004,HSI00001106
230223,HSI00000055
231317,HSI00001021
232029,HSI00001021
232034,HSI00000055
