,CountyTypeName,StateTypeId,ZipCode
0,St. Clair,1,35004
1,Jefferson,1,35005
2,Jefferson,1,35006
3,Shelby,1,35007
4,Tallapoosa,1,35010
5,Talladega,1,35014
6,Marshall,1,35016
7,Cullman,1,35019
8,Jefferson,1,35020
9,Jefferson,1,35022
10,Jefferson,1,35023
11,Blount,1,35031
12,Cullman,1,35033
13,Bibb,1,35034
14,Bibb,1,35035
15,Jefferson,1,35036
16,Shelby,1,35040
17,Bibb,1,35042
18,Shelby,1,35043
19,Talladega,1,35044
20,Chilton,1,35045
21,Chilton,1,35046
22,Blount,1,35049
23,Shelby,1,35051
24,St. Clair,1,35052
25,Cullman,1,35053
26,St. Clair,1,35054
27,Cullman,1,35055
28,Cullman,1,35057
29,Cullman,1,35058
30,Jefferson,1,35060
31,Jefferson,1,35061
32,Jefferson,1,35062
33,Walker,1,35063
34,Jefferson,1,35064
35,Jefferson,1,35068
36,Cullman,1,35070
37,Jefferson,1,35071
38,Coosa,1,35072
39,Jefferson,1,35073
40,Bibb,1,35074
41,Cullman,1,35077
42,Shelby,1,35078
43,Blount,1,35079
44,Shelby,1,35080
45,Clay,1,35082
46,Cullman,1,35083
47,Chilton,1,35085
48,Cullman,1,35087
49,Coosa,1,35089
50,Jefferson,1,35091
51,Jefferson,1,35094
52,Talladega,1,35096
53,Blount,1,35097
54,Cullman,1,35098
55,Chilton,1,350HH
56,Coosa,1,350XX
57,Tuscaloosa,1,35111
58,St. Clair,1,35112
59,Shelby,1,35114
60,Shelby,1,35115
61,Jefferson,1,35116
62,Jefferson,1,35117
63,Jefferson,1,35118
64,Jefferson,1,35119
65,St. Clair,1,35120
66,Blount,1,35121
67,Shelby,1,35124
68,St. Clair,1,35125
69,Jefferson,1,35126
70,Jefferson,1,35127
71,St. Clair,1,35128
72,Walker,1,35130
73,St. Clair,1,35131
74,Blount,1,35133
75,St. Clair,1,35135
76,Coosa,1,35136
77,Jefferson,1,35139
78,Shelby,1,35143
79,St. Clair,1,35146
80,Shelby,1,35147
81,Walker,1,35148
82,Talladega,1,35149
83,Talladega,1,35150
84,Talladega,1,35151
85,Talladega,1,35160
86,Chilton,1,35171
87,Blount,1,35172
88,Jefferson,1,35173
89,Marshall,1,35175
90,Shelby,1,35176
91,Shelby,1,35178
92,Cullman,1,35179
93,Jefferson,1,35180
94,Coosa,1,35183
95,Bibb,1,35184
96,Shelby,1,35186
97,Bibb,1,35188
98,Blount,1,351HH
99,Coosa,1,351XX
100,Jefferson,1,35203
101,Jefferson,1,35204
102,Jefferson,1,35205
103,Jefferson,1,35206
104,Jefferson,1,35207
105,Jefferson,1,35208
106,Jefferson,1,35209
107,Jefferson,1,35210
108,Jefferson,1,35211
109,Jefferson,1,35212
110,Jefferson,1,35213
111,Jefferson,1,35214
112,Jefferson,1,35215
113,Jefferson,1,35216
114,Jefferson,1,35217
115,Jefferson,1,35218
116,Jefferson,1,35221
117,Jefferson,1,35222
118,Jefferson,1,35223
119,Jefferson,1,35224
120,Jefferson,1,35226
121,Jefferson,1,35228
122,Jefferson,1,35233
123,Jefferson,1,35234
124,Jefferson,1,35235
125,Shelby,1,35242
126,Jefferson,1,35243
127,Jefferson,1,35244
128,Jefferson,1,352HH
129,Tuscaloosa,1,35401
130,Tuscaloosa,1,35403
131,Tuscaloosa,1,35404
132,Tuscaloosa,1,35405
133,Tuscaloosa,1,35406
134,Hale,1,35441
135,Pickens,1,35442
136,Greene,1,35443
137,Tuscaloosa,1,35444
138,Tuscaloosa,1,35446
139,Pickens,1,35447
140,Tuscaloosa,1,35452
141,Tuscaloosa,1,35453
142,Tuscaloosa,1,35456
143,Tuscaloosa,1,35457
144,Tuscaloosa,1,35458
145,Sumter,1,35459
146,Sumter,1,35460
147,Pickens,1,35461
148,Greene,1,35462
149,Tuscaloosa,1,35463
150,Sumter,1,35464
151,Pickens,1,35466
152,Greene,1,35469
153,Sumter,1,35470
154,Pickens,1,35471
155,Tuscaloosa,1,35473
156,Hale,1,35474
157,Tuscaloosa,1,35475
158,Tuscaloosa,1,35476
159,Sumter,1,35477
160,Tuscaloosa,1,35480
161,Pickens,1,35481
162,Tuscaloosa,1,35490
163,Greene,1,354HH
164,Sumter,1,354XX
165,Walker,1,35501
166,Walker,1,35503
167,Walker,1,35504
168,Winston,1,35540
169,Winston,1,35541
170,Fayette,1,35542
171,Marion,1,35543
172,Lamar,1,35544
173,Fayette,1,35545
174,Fayette,1,35546
175,Marion,1,35548
176,Walker,1,35549
177,Walker,1,35550
178,Lamar,1,35552
179,Winston,1,35553
180,Fayette,1,35554
181,Fayette,1,35555
182,Fayette,1,35559
183,Marion,1,35563
184,Marion,1,35564
185,Winston,1,35565
186,Marion,1,35570
187,Franklin,1,35571
188,Winston,1,35572
189,Lamar,1,35574
190,Winston,1,35575
191,Lamar,1,35576
192,Walker,1,35578
193,Walker,1,35579
194,Walker,1,35580
195,Franklin,1,35581
196,Franklin,1,35582
197,Walker,1,35584
198,Franklin,1,35585
199,Lamar,1,35586
200,Walker,1,35587
201,Lamar,1,35592
202,Franklin,1,35593
203,Marion,1,35594
204,Franklin,1,355HH
205,Lawrence,1,355XX
206,Morgan,1,35601
207,Morgan,1,35603
208,Lauderdale,1,35610
209,Limestone,1,35611
210,Limestone,1,35613
211,Limestone,1,35614
212,Colbert,1,35616
213,Lawrence,1,35618
214,Morgan,1,35619
215,Limestone,1,35620
216,Morgan,1,35621
217,Morgan,1,35622
218,Lauderdale,1,35630
219,Lauderdale,1,35633
220,Lauderdale,1,35634
221,Morgan,1,35640
222,Lawrence,1,35643
223,Lauderdale,1,35645
224,Colbert,1,35646
225,Limestone,1,35647
226,Lauderdale,1,35648
227,Limestone,1,35649
228,Lawrence,1,35650
229,Lawrence,1,35651
230,Lauderdale,1,35652
231,Franklin,1,35653
232,Franklin,1,35654
233,Colbert,1,35660
234,Colbert,1,35661
235,Morgan,1,35670
236,Limestone,1,35671
237,Lawrence,1,35672
238,Lawrence,1,35673
239,Colbert,1,35674
240,Lauderdale,1,35677
241,Colbert,1,356HH
242,Lawrence,1,356XX
243,Limestone,1,35739
244,Jackson,1,35740
245,Madison,1,35741
246,Limestone,1,35742
247,Jackson,1,35744
248,Jackson,1,35745
249,Jackson,1,35746
250,Marshall,1,35747
251,Madison,1,35748
252,Madison,1,35749
253,Madison,1,35750
254,Jackson,1,35751
255,Jackson,1,35752
256,Morgan,1,35754
257,Marshall,1,35755
258,Limestone,1,35756
259,Madison,1,35757
260,Madison,1,35758
261,Madison,1,35759
262,Madison,1,35760
263,Madison,1,35761
264,Madison,1,35763
265,Jackson,1,35764
266,Jackson,1,35765
267,Jackson,1,35766
268,Jackson,1,35768
269,Jackson,1,35769
270,Jackson,1,35771
271,Jackson,1,35772
272,Madison,1,35773
273,Jackson,1,35774
274,Morgan,1,35775
275,Jackson,1,35776
276,Jackson,1,357HH
277,Madison,1,357XX
278,Madison,1,35801
279,Madison,1,35802
280,Madison,1,35803
281,Madison,1,35805
282,Madison,1,35806
283,Madison,1,35808
284,Madison,1,35810
285,Madison,1,35811
286,Madison,1,35816
287,Madison,1,35824
288,Madison,1,358HH
289,Madison,1,358XX
290,Etowah,1,35901
291,Etowah,1,35903
292,Etowah,1,35904
293,Etowah,1,35905
294,Etowah,1,35906
295,Etowah,1,35907
296,Marshall,1,35950
297,Marshall,1,35951
298,Etowah,1,35952
299,St. Clair,1,35953
300,Etowah,1,35954
301,Etowah,1,35956
302,Marshall,1,35957
303,Jackson,1,35958
304,Cherokee,1,35959
305,Cherokee,1,35960
306,DeKalb,1,35961
307,DeKalb,1,35962
308,DeKalb,1,35963
309,Jackson,1,35966
310,DeKalb,1,35967
311,DeKalb,1,35968
312,DeKalb,1,35971
313,Etowah,1,35972
314,Cherokee,1,35973
315,DeKalb,1,35974
316,DeKalb,1,35975
317,Marshall,1,35976
318,DeKalb,1,35978
319,DeKalb,1,35979
320,Marshall,1,35980
321,DeKalb,1,35981
322,Cherokee,1,35983
323,DeKalb,1,35984
324,DeKalb,1,35986
325,St. Clair,1,35987
326,DeKalb,1,35988
327,DeKalb,1,35989
328,Etowah,1,35990
329,Cherokee,1,359HH
330,Autauga,1,36003
331,Pike,1,36005
332,Autauga,1,36006
333,Crenshaw,1,36009
334,Pike,1,36010
335,Montgomery,1,36013
336,Barbour,1,36016
337,Barbour,1,36017
338,Elmore,1,36020
339,Elmore,1,36022
340,Elmore,1,36024
341,Elmore,1,36025
342,Coosa,1,36026
343,Barbour,1,36027
344,Covington,1,36028
345,Bullock,1,36029
346,Butler,1,36030
347,Macon,1,36031
348,Lowndes,1,36032
349,Butler,1,36033
350,Pike,1,36034
351,Pike,1,36035
352,Montgomery,1,36036
353,Butler,1,36037
354,Macon,1,36039
355,Lowndes,1,36040
356,Crenshaw,1,36041
357,Crenshaw,1,36042
358,Montgomery,1,36043
359,Crenshaw,1,36046
360,Lowndes,1,36047
361,Barbour,1,36048
362,Crenshaw,1,36049
363,Autauga,1,36051
364,Montgomery,1,36052
365,Bullock,1,36053
366,Elmore,1,36054
367,Montgomery,1,36064
368,Montgomery,1,36065
369,Autauga,1,36066
370,Autauga,1,36067
371,Montgomery,1,36069
372,Crenshaw,1,36071
373,Macon,1,36075
374,Elmore,1,36078
375,Pike,1,36079
376,Elmore,1,36080
377,Pike,1,36081
378,Macon,1,36083
379,Macon,1,36088
380,Bullock,1,36089
381,Chilton,1,36091
382,Elmore,1,36092
383,Elmore,1,36093
384,Autauga,1,360HH
385,Butler,1,360XX
386,Montgomery,1,36104
387,Montgomery,1,36105
388,Montgomery,1,36106
389,Montgomery,1,36107
390,Montgomery,1,36108
391,Montgomery,1,36109
392,Montgomery,1,36110
393,Montgomery,1,36111
394,Montgomery,1,36113
395,Montgomery,1,36115
396,Montgomery,1,36116
397,Montgomery,1,36117
398,Montgomery,1,361HH
399,Calhoun,1,36201
400,Calhoun,1,36203
401,Calhoun,1,36205
402,Calhoun,1,36206
403,Calhoun,1,36207
404,Calhoun,1,36250
405,Clay,1,36251
406,Clay,1,36255
407,Tallapoosa,1,36256
408,Clay,1,36258
409,Calhoun,1,36260
410,Cleburne,1,36262
411,Randolph,1,36263
412,Cleburne,1,36264
413,Calhoun,1,36265
414,Clay,1,36266
415,Clay,1,36267
416,Talladega,1,36268
417,Cleburne,1,36269
418,Randolph,1,36270
419,Calhoun,1,36271
420,Calhoun,1,36272
421,Cleburne,1,36273
422,Randolph,1,36274
423,Randolph,1,36276
424,Calhoun,1,36277
425,Randolph,1,36278
426,Calhoun,1,36279
427,Randolph,1,36280
428,Calhoun,1,362HH
429,Calhoun,1,362XX
430,Houston,1,36301
431,Houston,1,36303
432,Houston,1,36305
433,Henry,1,36310
434,Dale,1,36311
435,Houston,1,36312
436,Geneva,1,36313
437,Geneva,1,36314
438,Geneva,1,36316
439,Henry,1,36317
440,Geneva,1,36318
441,Houston,1,36319
442,Houston,1,36320
443,Dale,1,36322
444,Coffee,1,36323
445,Coffee,1,36330
446,Geneva,1,36340
447,Houston,1,36343
448,Geneva,1,36344
449,Henry,1,36345
450,Coffee,1,36346
451,Dale,1,36350
452,Coffee,1,36351
453,Houston,1,36352
454,Henry,1,36353
455,Dale,1,36360
456,Dale,1,36362
457,Houston,1,36370
458,Dale,1,36371
459,Henry,1,36373
460,Dale,1,36374
461,Geneva,1,36375
462,Houston,1,36376
463,Geneva,1,363HH
464,Conecuh,1,36401
465,Covington,1,36420
466,Monroe,1,36425
467,Escambia,1,36426
468,Conecuh,1,36432
469,Wilcox,1,36435
470,Clarke,1,36436
471,Escambia,1,36441
472,Covington,1,36442
473,Monroe,1,36444
474,Monroe,1,36445
475,Clarke,1,36446
476,Clarke,1,36451
477,Coffee,1,36453
478,Covington,1,36455
479,Butler,1,36456
480,Monroe,1,36460
481,Covington,1,36467
482,Monroe,1,36470
483,Monroe,1,36471
484,Conecuh,1,36473
485,Covington,1,36474
486,Conecuh,1,36475
487,Covington,1,36476
488,Geneva,1,36477
489,Monroe,1,36480
490,Monroe,1,36481
491,Clarke,1,36482
492,Covington,1,36483
493,Clarke,1,364HH
494,Clarke,1,364XX
495,Clarke,1,36501
496,Escambia,1,36502
497,Mobile,1,36505
498,Baldwin,1,36507
499,Mobile,1,36509
500,Baldwin,1,36511
501,Washington,1,36513
502,Clarke,1,36515
503,Washington,1,36518
504,Mobile,1,36521
505,Mobile,1,36522
506,Mobile,1,36523
507,Clarke,1,36524
508,Mobile,1,36525
509,Baldwin,1,36526
510,Baldwin,1,36527
511,Mobile,1,36528
512,Washington,1,36529
513,Baldwin,1,36530
514,Baldwin,1,36532
515,Baldwin,1,36535
516,Washington,1,36538
517,Washington,1,36539
518,Clarke,1,36540
519,Mobile,1,36541
520,Baldwin,1,36542
521,Mobile,1,36544
522,Clarke,1,36545
523,Washington,1,36548
524,Baldwin,1,36549
525,Baldwin,1,36550
526,Baldwin,1,36551
527,Washington,1,36553
528,Washington,1,36556
529,Washington,1,36558
530,Baldwin,1,36559
531,Mobile,1,36560
532,Baldwin,1,36561
533,Baldwin,1,36562
534,Baldwin,1,36564
535,Baldwin,1,36567
536,Washington,1,36569
537,Clarke,1,36570
538,Mobile,1,36571
539,Mobile,1,36572
540,Baldwin,1,36574
541,Mobile,1,36575
542,Baldwin,1,36576
543,Baldwin,1,36577
544,Baldwin,1,36578
545,Baldwin,1,36579
546,Baldwin,1,36580
547,Washington,1,36581
548,Mobile,1,36582
549,Washington,1,36583
550,Washington,1,36584
551,Washington,1,36585
552,Mobile,1,36587
553,Baldwin,1,365HH
554,Washington,1,365XX
555,Mobile,1,36602
556,Mobile,1,36603
557,Mobile,1,36604
558,Mobile,1,36605
559,Mobile,1,36606
560,Mobile,1,36607
561,Mobile,1,36608
562,Mobile,1,36609
563,Mobile,1,36610
564,Mobile,1,36611
565,Mobile,1,36612
566,Mobile,1,36613
567,Mobile,1,36617
568,Mobile,1,36618
569,Mobile,1,36619
570,Mobile,1,36693
571,Mobile,1,36695
572,Mobile,1,366HH
573,Dallas,1,36701
574,Dallas,1,36703
575,Wilcox,1,36720
576,Wilcox,1,36722
577,Wilcox,1,36723
578,Wilcox,1,36726
579,Clarke,1,36727
580,Wilcox,1,36728
581,Marengo,1,36732
582,Marengo,1,36736
583,Marengo,1,36738
584,Greene,1,36740
585,Marengo,1,36742
586,Hale,1,36744
587,Marengo,1,36748
588,Autauga,1,36749
589,Chilton,1,36750
590,Wilcox,1,36751
591,Lowndes,1,36752
592,Marengo,1,36754
593,Perry,1,36756
594,Dallas,1,36758
595,Dallas,1,36759
596,Dallas,1,36761
597,Marengo,1,36763
598,Hale,1,36765
599,Dallas,1,36767
600,Wilcox,1,36768
601,Wilcox,1,36769
602,Dallas,1,36773
603,Dallas,1,36775
604,Hale,1,36776
605,Perry,1,36779
606,Marengo,1,36782
607,Marengo,1,36783
608,Clarke,1,36784
609,Lowndes,1,36785
610,Perry,1,36786
611,Chilton,1,36790
612,Bibb,1,36792
613,Bibb,1,36793
614,Autauga,1,367HH
615,Marengo,1,367XX
616,Lee,1,36801
617,Lee,1,36804
618,Lee,1,36830
619,Lee,1,36832
620,Lee,1,36849
621,Tallapoosa,1,36850
622,Lee,1,36852
623,Tallapoosa,1,36853
624,Chambers,1,36854
625,Chambers,1,36855
626,Russell,1,36856
627,Russell,1,36858
628,Russell,1,36860
629,Tallapoosa,1,36861
630,Chambers,1,36862
631,Chambers,1,36863
632,Macon,1,36866
633,Russell,1,36867
634,Russell,1,36869
635,Lee,1,36870
636,Russell,1,36871
637,Lee,1,36874
638,Russell,1,36875
639,Lee,1,36877
640,Lee,1,36879
641,Chambers,1,368HH
642,Sumter,1,36901
643,Choctaw,1,36904
644,Sumter,1,36907
645,Choctaw,1,36908
646,Choctaw,1,36910
647,Choctaw,1,36912
648,Choctaw,1,36915
649,Choctaw,1,36916
650,Choctaw,1,36919
651,Choctaw,1,36921
652,Choctaw,1,36922
653,Sumter,1,36925
654,Choctaw,1,369HH
655,Choctaw,1,369XX
656,Colbert,1,38852
657,Anchorage Borough,2,99501
658,Anchorage Borough,2,99502
659,Anchorage Borough,2,99503
660,Anchorage Borough,2,99504
661,Anchorage Borough,2,99505
662,Anchorage Borough,2,99506
663,Anchorage Borough,2,99507
664,Anchorage Borough,2,99508
665,Anchorage Borough,2,99513
666,Anchorage Borough,2,99515
667,Anchorage Borough,2,99516
668,Anchorage Borough,2,99517
669,Anchorage Borough,2,99518
670,Anchorage Borough,2,99540
671,Aleutians West Census Area,2,99546
672,Aleutians West Census Area,2,99547
673,Lake and Peninsula Borough,2,99548
674,Lake and Peninsula Borough,2,99549
675,Kodiak Island Borough,2,99550
676,Bethel Census Area,2,99551
677,Bethel Census Area,2,99552
678,Aleutians East Borough,2,99553
679,Wade Hampton Census Area,2,99554
680,Dillingham Census Area,2,99555
681,Kenai Peninsula Borough,2,99556
682,Bethel Census Area,2,99557
683,Yukon-Koyukuk Census Area,2,99558
684,Bethel Census Area,2,99559
685,Bethel Census Area,2,99561
686,Wade Hampton Census Area,2,99563
687,Lake and Peninsula Borough,2,99564
688,Lake and Peninsula Borough,2,99565
689,Valdez-Cordova Census Area,2,99566
690,Anchorage Borough,2,99567
691,Kenai Peninsula Borough,2,99568
692,Dillingham Census Area,2,99569
693,Aleutians East Borough,2,99571
694,Kenai Peninsula Borough,2,99572
695,Valdez-Cordova Census Area,2,99573
696,Valdez-Cordova Census Area,2,99574
697,Bethel Census Area,2,99575
698,Dillingham Census Area,2,99576
699,Anchorage Borough,2,99577
700,Bethel Census Area,2,99578
701,Lake and Peninsula Borough,2,99579
702,Dillingham Census Area,2,99580
703,Wade Hampton Census Area,2,99581
704,Aleutians East Borough,2,99583
705,Wade Hampton Census Area,2,99585
706,Valdez-Cordova Census Area,2,99586
707,Anchorage Borough,2,99587
708,Valdez-Cordova Census Area,2,99588
709,Bethel Census Area,2,99589
710,Yukon-Koyukuk Census Area,2,99590
711,Aleutians West Census Area,2,99591
712,Aleutians East Borough,2,995HH
713,Valdez-Cordova Census Area,2,995XX
714,Yukon-Koyukuk Census Area,2,99602
715,Kenai Peninsula Borough,2,99603
716,Wade Hampton Census Area,2,99604
717,Kenai Peninsula Borough,2,99605
718,Lake and Peninsula Borough,2,99606
719,Bethel Census Area,2,99607
720,Kodiak Island Borough,2,99608
721,Bethel Census Area,2,99609
722,Kenai Peninsula Borough,2,99610
723,Kenai Peninsula Borough,2,99611
724,Aleutians East Borough,2,99612
725,Bristol Bay Borough,2,99613
726,Bethel Census Area,2,99614
727,Kodiak Island Borough,2,99615
728,Wade Hampton Census Area,2,99620
729,Bethel Census Area,2,99621
730,Bethel Census Area,2,99622
731,Kodiak Island Borough,2,99624
732,Lake and Peninsula Borough,2,99625
733,Bethel Census Area,2,99626
734,Yukon-Koyukuk Census Area,2,99627
735,Dillingham Census Area,2,99628
736,Bethel Census Area,2,99630
737,Kenai Peninsula Borough,2,99631
738,Wade Hampton Census Area,2,99632
739,Bristol Bay Borough,2,99633
740,Bethel Census Area,2,99634
741,Kenai Peninsula Borough,2,99635
742,Dillingham Census Area,2,99636
743,Bethel Census Area,2,99637
744,Aleutians West Census Area,2,99638
745,Kenai Peninsula Borough,2,99639
746,Lake and Peninsula Borough,2,99640
747,Bethel Census Area,2,99641
748,Kodiak Island Borough,2,99643
749,Kodiak Island Borough,2,99644
750,Matanuska-Susitna Borough,2,99645
751,Lake and Peninsula Borough,2,99647
752,Lake and Peninsula Borough,2,99648
753,Lake and Peninsula Borough,2,99649
754,Wade Hampton Census Area,2,99650
755,Bethel Census Area,2,99651
756,Matanuska-Susitna Borough,2,99652
757,Lake and Peninsula Borough,2,99653
758,Matanuska-Susitna Borough,2,99654
759,Bethel Census Area,2,99655
760,Bethel Census Area,2,99656
761,Wade Hampton Census Area,2,99657
762,Wade Hampton Census Area,2,99658
763,Nome Census Area,2,99659
764,Aleutians West Census Area,2,99660
765,Aleutians East Borough,2,99661
766,Wade Hampton Census Area,2,99662
767,Kenai Peninsula Borough,2,99663
768,Kenai Peninsula Borough,2,99664
769,Yukon-Koyukuk Census Area,2,99665
770,Wade Hampton Census Area,2,99666
771,Matanuska-Susitna Borough,2,99667
772,Bethel Census Area,2,99668
773,Kenai Peninsula Borough,2,99669
774,Bristol Bay Borough,2,99670
775,Nome Census Area,2,99671
776,Kenai Peninsula Borough,2,99672
777,Matanuska-Susitna Borough,2,99674
778,Yukon-Koyukuk Census Area,2,99675
779,Matanuska-Susitna Borough,2,99676
780,Valdez-Cordova Census Area,2,99677
781,Dillingham Census Area,2,99678
782,Bethel Census Area,2,99679
783,Bethel Census Area,2,99680
784,Bethel Census Area,2,99681
785,Kenai Peninsula Borough,2,99682
786,Matanuska-Susitna Borough,2,99683
787,Nome Census Area,2,99684
788,Aleutians West Census Area,2,99685
789,Valdez-Cordova Census Area,2,99686
790,Matanuska-Susitna Borough,2,99687
791,Matanuska-Susitna Borough,2,99688
792,Yakutat Borou,2,99689
793,Bethel Census Area,2,99690
794,Yukon-Koyukuk Census Area,2,99691
795,Aleutians West Census Area,2,99692
796,Valdez-Cordova Census Area,2,99693
797,Matanuska-Susitna Borough,2,99694
798,Matanuska-Susitna Borough,2,99695
799,Kodiak Island Borough,2,99697
800,Aleutians East Borough,2,996HH
801,Yakutat Borou,2,996XX
802,Fairbanks North Star Borough,2,99701
803,Fairbanks North Star Borough,2,99702
804,Fairbanks North Star Borough,2,99703
805,Denali Borough,2,99704
806,Fairbanks North Star Borough,2,99705
807,Fairbanks North Star Borough,2,99709
808,Fairbanks North Star Borough,2,99712
809,Fairbanks North Star Borough,2,99714
810,Yukon-Koyukuk Census Area,2,99720
811,North Slope Borough,2,99721
812,Yukon-Koyukuk Census Area,2,99722
813,North Slope Borough,2,99723
814,Yukon-Koyukuk Census Area,2,99724
815,Fairbanks North Star Borough,2,99725
816,Yukon-Koyukuk Census Area,2,99726
817,Northwest Arctic Borough,2,99727
818,Denali Borough,2,99729
819,Yukon-Koyukuk Census Area,2,99730
820,Southeast Fairbanks Census Area,2,99732
821,Yukon-Koyukuk Census Area,2,99733
822,Northwest Arctic Borough,2,99736
823,Southeast Fairbanks Census Area,2,99737
